stars_rating	title
8.1	Arsenic and Old Lace
8.8	Star Wars: Episode V - The Empire Strikes Back
8.1	Laura
8.2	Hotel Rwanda
7.9	Nightcrawler
8.1	The Philadelphia Story
7.8	Pride & Prejudice
8	JFK
7.8	Mary Poppins
7.7	Whale Rider
8.5	Django Unchained
9.3	The Shawshank Redemption
8	Mulholland Dr.
8.4	The Sting
7.4	My Sister"s Keeper
8.5	Grave of the Fireflies
8.3	Scarface
8.3	Dil Chahta Hai
8.1	The Cabinet of Dr. Caligari
7.4	Man on the Moon
8.4	Bicycle Thieves
8	How to Train Your Dragon 2
7.8	Drive
7.9	Cowboy Bebop: The Movie
7.9	The Man from Nowhere
8	Blood Diamond
7.6	The Kite Runner
7.8	Run Lola Run
8.1	Before Sunrise
7.5	Despicable Me 2
7.5	Cloud Atlas
7.6	Chaplin
7.6	High Fidelity
8.3	The Treasure of the Sierra Madre
7.8	300
7.6	Animal House
7.5	The Constant Gardener
7.8	The Hangover
7.7	In a Better World
7.7	Coraline
8	Big Fish
7.5	Witness
8.3	Wild Strawberries
7.6	The Natural
8	The Untouchables
8.1	Bringing Up Baby
8.5	The Departed
7.7	Midnight Express
8.2	Fargo
7.8	I Saw the Devil
7.5	Doubt
8.4	Das Boot
8	The Hobbit: The Desolation of Smaug
8.1	Elite Squad: The Enemy Within
7.5	RoboCop
8	Fiddler on the Roof
8.3	Die Hard
7.5	Devil"s Advocate
8	Dancer in the Dark
7.5	Inside Llewyn Davis
7.6	28 Days Later...
8.1	Twelve Monkeys
8.3	The Third Man
8.7	The Matrix
7.7	Frozen
8.3	Metropolis
7.6	The Evil Dead
8.1	Guardians of the Galaxy
7.6	Planes, Trains & Automobiles
7.6	Escape from Alcatraz
7.7	Rushmore
8.6	Psycho
8.1	Ben-Hur
8.1	A Christmas Story
7.5	Malena
7.5	Open Range
8.1	The Imitation Game
7.6	Enemy at the Gates
8	The Blues Brothers
8.7	One Flew Over the Cuckoo"s Nest
7.8	O Brother, Where Art Thou?
7.5	Jackie Brown
7.4	Law Abiding Citizen
8.2	The Elephant Man
7.6	Hodejegerne
8	Edge of Tomorrow
7.4	Zero Dark Thirty
7.7	Midnight in Paris
7.8	Open Your Eyes
8.3	The Great Escape
7.7	Blood Simple.
8.2	Hachi: A Dog"s Tale
7.5	Everything Is Illuminated
8.3	Chinatown
8.4	Rashomon
8.1	Platoon
8	In Bruges
8.1	Annie Hall
7.8	Deliverance
8.1	Young Frankenstein
7.8	Ocean"s Eleven
7.8	(500) Days of Summer
7.8	The King of Comedy
7.6	Watchmen
7.5	The Life of David Gale
7.5	Sherlock Holmes: A Game of Shadows
8	Ratatouille
8.3	Heat
7.5	The Orphanage
7.6	The Hours
7.8	The Boy in the Striped Pajamas
8	Dawn of the Dead
8.1	The Diving Bell and the Butterfly
8.9	Fight Club
7.4	Capote
8	The Fault in Our Stars
7.5	Rust and Bone
7.4	Deconstructing Harry
8	Casino Royale
7.9	Crash
8	Shadow of a Doubt
7.8	Man on Fire
8	Life of Pi
8	Dallas Buyers Club
7.8	Star Trek Into Darkness
7.5	Harry Potter and the Sorcerer"s Stone
7.9	Le passe
7.8	Argo
7.7	The Visitor
8	Midnight Cowboy
8.4	Star Wars: Episode VI - Return of the Jedi
7.7	The Wicker Man
8.2	How to Train Your Dragon
8.2	V for Vendetta
8	Manhattan
7.5	Buffalo "66
8.4	Jodaeiye Nader az Simin
8	Crimes and Misdemeanors
8	Short Term 12
7.9	Kiki"s Delivery Service
8	The Incredibles
7.7	Seven Pounds
7.5	Heavenly Creatures
8.1	A Streetcar Named Desire
7.8	Fantasia
8.4	WALL-E
7.7	Kelly"s Heroes
7.6	The Counterfeiters
7.7	Moulin Rouge!
7.5	Gallipoli
7.8	The Triplets of Belleville
7.6	Lord of War
7.7	Enter the Dragon
7.9	Children of Men
8	King Kong
8	Amarcord
7.5	The Bridges of Madison County
7.6	The Curse of the Were-Rabbit
8	Secrets & Lies
7.5	From Russia with Love
7.5	The Aviator
7.5	Smoke
7.7	Shane
7.5	Trading Places
7.6	Kung Fu Panda
7.7	Black Hawk Down
7.5	42
7.4	Take Shelter
7.8	The Theory of Everything
7.7	21 Grams
7.5	Total Recall
7.4	Blue Valentine
7.5	Miracle
7.8	The Goonies
7.8	The Dirty Dozen
7.8	Lucky Number Slevin
7.9	Shrek
7.4	Alice in Wonderland
7.6	Saving Mr. Banks
7.9	Clerks
7.5	Dracula
8.4	To Kill a Mockingbird
7.9	Hard Boiled
7.5	Menace II Society
7.6	Tucker and Dale vs. Evil
8	District 9
7.5	Running Scared
8.3	Indiana Jones and the Last Crusade
8	Pink Floyd The Wall
8.1	Harold and Maude
8.1	The Celebration
7.5	To Catch a Thief
8.1	The Hustler
7.8	From Here to Eternity
8	Planet of the Apes
7.6	Sideways
7.5	Rudy
7.6	Secondhand Lions
7.4	The Bucket List
8.1	Notorious
7.4	Mean Streets
7.9	The Wrestler
8.6	Leon: The Professional
7.8	About Time
7.4	Eraserhead
7.8	The Magnificent Seven
8.6	City Lights
7.5	Green Street Hooligans
7.8	Boyz n the Hood
7.6	Ip Man 2
8	Central Station
7.7	The Player
8.1	Sleuth
8.1	Million Dollar Baby
7.5	{Rec}
8	Cinderella Man
7.8	American Gangster
7.7	Forbidden Planet
8.2	Gone Girl
7.7	Primal Fear
7.7	The Purple Rose of Cairo
8.8	Inception
8	Dead Poets Society
8.1	La leggenda del pianista sull"oceano
7.5	My Cousin Vinny
7.6	When Harry Met Sally...
7.9	The Outlaw Josey Wales
7.4	The Simpsons Movie
7.6	The Crow
8	The Straight Story
7.4	Crazy, Stupid, Love.
8.1	The Help
8.1	The Manchurian Candidate
7.4	Death at a Funeral
8.1	Yip Man
